shock,outcome,horizon,beta,se,tstat,pvalue,sig_flag
research_innovation,SI.POV.GINI,2,0.37448528057320757,0.5098159187566771,0.7345499949991565,0.4626136015734912,
research_innovation,SI.POV.GINI,3,0.48974511007238075,0.6205295918017746,0.7892373168705025,0.42997331520878035,
research_innovation,SI.POV.GINI,4,0.4109926560489344,0.6994351984721809,0.5876064815535318,0.5567964595033636,
research_innovation,SI.POV.GINI,5,0.3984040557920691,0.7843495892465412,0.5079419448345507,0.611494057745007,
research_innovation,SI.POV.GINI,6,0.33675103830751607,0.8305155865601745,0.40547226777798345,0.6851303992459474,
research_innovation,SI.POV.GINI,7,-0.08642614399344595,0.9321695293922125,-0.09271504942861304,0.9261299407962968,
research_innovation,SI.POV.GINI,8,-0.2859265346305403,0.9812777287934812,-0.291381864930429,0.7707592827941279,
health,log_gdppc_x100,0,-8.695513290317232,3.743601461347762,-2.3227668276384033,0.020191682026945657,**
health,log_gdppc_x100,1,-9.61200248512138,3.561033814922148,-2.6992168523767637,0.006950287133941968,***
health,log_gdppc_x100,2,-10.82738718984062,6.117883094002747,-1.7697930842213243,0.07676161638721246,*
health,log_gdppc_x100,3,-12.002293017092478,5.98943849929935,-2.0039095515375136,0.04507975019982058,**
health,log_gdppc_x100,4,-17.484343725719683,6.5030359236123045,-2.6886432631003343,0.0071743043286234265,***
health,log_gdppc_x100,5,-16.9431474070638,6.5849513640744455,-2.573010257828269,0.01008182195588403,**
health,log_gdppc_x100,6,-15.758405826506376,6.582702513388504,-2.3939112840745094,0.016669780282124735,**
health,log_gdppc_x100,7,-17.963833555702664,6.316287784704069,-2.844049252981323,0.004454416167057218,***
health,log_gdppc_x100,8,-21.301286449696907,6.223143143229014,-3.422914427554734,0.0006195357750793384,***
health,SI.POV.DDAY,0,0.6382987229713728,0.560156691652297,1.1395003085450606,0.25449453966803004,
health,SI.POV.DDAY,1,1.025105777046067,0.6164551119429857,1.662904171262475,0.09633161929882084,*
health,SI.POV.DDAY,2,0.7378550685543812,0.661808890602035,1.114906552378238,0.26489046854845744,
health,SI.POV.DDAY,3,1.0285758272422325,0.7214623026739795,1.4256820119776017,0.15396015112538852,
health,SI.POV.DDAY,4,1.6780122535309203,0.8433875134205898,1.9896100272166475,0.04663391071827139,**
health,SI.POV.DDAY,5,2.7033985827166807,0.9030329398143413,2.993687675748002,0.002756279341574519,***
health,SI.POV.DDAY,6,3.0434717930452524,1.0160849724232146,2.9952925942670086,0.0027418169414688,***
health,SI.POV.DDAY,7,2.4325961907656573,1.075564535857868,2.2616924504910565,0.023716411499168144,**
health,SI.POV.DDAY,8,2.1467225850400036,1.128188107160449,1.902805544053391,0.05706592354149542,*
health,SI.POV.GINI,0,0.014534815824634423,0.36716739414324684,0.03958634687197688,0.9684229125252772,
health,SI.POV.GINI,1,0.14677766785650395,0.4535219568037371,0.323639606979431,0.7462108984129379,
health,SI.POV.GINI,2,-0.16086349283458679,0.5945657617319539,-0.2705562667550782,0.786732335660925,
