iso3,year,education,energy,health,housing_living,research_innovation,security_stability,composite
PER,2000,0.5127337581218988,-0.34626190880387364,0.5402205619784298,-0.5158699642998477,-1.9644280893186206,0.22539216464976627,-0.25803557961204115
PER,2001,0.31941534488387524,-0.3783627692599384,0.6965465468528115,-0.4534358779535504,-1.9600980414871125,0.2201523887181318,-0.2592970680409638
PER,2002,0.4973582757453289,-0.2810929540668264,0.778733000822047,-0.39158711606188235,-2.012534581641825,0.19034471822123245,-0.2031297761636542
PER,2003,0.6732428791806152,-0.25332851306604215,0.7977236133485625,-0.330294468700744,-1.916775136146885,0.18575816368054782,-0.14061224361732427
PER,2004,0.7236173903069336,-0.1581862334516638,0.6149863214985504,-0.26957391349651494,-1.8207685611592448,0.1677079134428852,-0.12370284714317574
PER,2005,0.7446823072902418,-0.08937594409477008,0.5526561064600879,-0.20943792148704188,-1.889811657009877,0.19593702209014427,-0.11589168112520253
PER,2006,0.846522186367731,0.031491152623376796,0.8675577561341138,-0.14983879042895754,-1.7512705840537366,0.17820135693111913,0.0037771795956077444
PER,2007,0.9935652190272507,0.18644972987255756,1.013812811190915,-0.09080825679543716,-1.866685220254996,0.15660551122779487,0.0654899657113475
PER,2008,1.1267806168751204,0.32583090531333003,0.923720440204428,-0.03467910649277662,-1.8836929356039567,0.1484872682706545,0.10107453142779993
PER,2009,1.214834822085915,0.3694167890143711,0.859553150962942,0.020087144959284632,-1.7796989008204585,0.18861246087280273,0.14546757784580952
PER,2010,1.276176013692859,0.4767190128346069,0.9417298271148625,0.07462559094120429,-1.6052586952322383,0.18114512626010312,0.22418947926856625
PER,2011,1.2041134579298705,0.5777186300366274,0.9990941589389305,0.017553992554110772,-1.6975772245244287,0.29400842854942977,0.23248524058075667
PER,2012,1.1646186349205152,0.609490496260922,1.0793743481558518,-0.03974323389458801,-1.6912680874195218,0.2147451620043075,0.22286955333791436
PER,2013,1.5067630343368676,0.7447517886096688,1.0078060728849048,-0.018103905367832972,-1.5662085600897422,0.2084170804846674,0.31390425180975556
PER,2014,1.6841229178226214,0.761789271503009,1.2378926546549571,0.0032979468289740764,-1.4947530009879364,0.19853106258827316,0.39848014206831656
PER,2015,1.8726011502363098,0.8176566818048204,1.3746910723707504,0.049139517595433724,-1.4710579179386472,0.16492661124913072,0.46799285255296635
PER,2016,1.8484203076164323,0.866233636300869,1.3287698753021582,0.09473253894470494,-1.4205180133254145,0.12942975703998202,0.47451135031312197
PER,2017,1.6539103092476646,0.8805738434104006,1.3104159395463757,0.14525354854538602,-1.2565367718672147,0.12591546612918592,0.4765887225019663
PER,2018,1.6157990161621152,0.8873120389416603,1.328143309194718,0.1956283448727402,-1.2502338837628477,0.14343223838813576,0.48668017729942026
PER,2019,1.6760348932202949,0.9101722240112717,1.3146666994659477,0.23262703764745574,-1.0257312124251647,0.1668385595935969,0.5457680335855669
PER,2020,1.7250605157197874,0.7539219932631227,1.3785733109491232,0.269457814736343,-0.9633526837524045,0.2747786646405744,0.5730732692594244
PER,2021,1.6579890817605138,0.8397513963597065,1.389355476930112,0.28542162937427307,-1.0113534480111055,0.07972631168773216,0.540148408016872
PER,2022,1.576566233144833,0.853036063903282,1.3914243168227376,0.30118645789213033,-0.9500350223642846,0.07972631168773216,0.5419840601810717
PER,2023,1.657324470265604,0.8474302100087228,1.554799415665334,0.3318837137113473,-0.9271844830332138,0.07972631168773216,0.590663273050921
PER,2024,1.6334796578813184,0.8474302100087228,1.6813584444844485,0.36234536159422226,-0.9278298715495906,0.07972631168773216,0.6127516856844756
PHL,1990,0.10076980514841866,-1.0858050190196455,-2.1334709336947713,-0.6253877946911399,-1.8605893171187153,-0.34796246263769365,-0.9920742870022577
PHL,1991,0.12208926509737049,-1.1471601738845363,-1.9877473960390692,-0.5936979031284654,-1.8700489814006998,-0.26175171571496514,-0.956386150845061
PHL,1992,0.06556134956649798,-1.1380573450840157,-1.7987233020294215,-0.5616036781387994,-2.050036296812445,-0.19617306666113607,-0.9465053898598866
PHL,1993,0.04956463695901281,-1.0697194311827423,-1.5611680234235221,-0.528240988144875,-1.6562939295575316,-0.12042962161074551,-0.8143812261600673
PHL,1994,0.07217309766174805,-0.9605236801449134,-1.3068359338024855,-0.4970156654022939,-1.6505790613605185,0.028730640404756456,-0.7190084337739512
PHL,1995,0.05200766348278054,-0.8203158916031077,-1.0886786499969365,-0.46494024935137673,-1.7410487231691523,0.055416972953788335,-0.6679264796140009
PHL,1996,0.0712934888242644,-0.7299775833052682,-0.7846151950464868,-0.4304847181800832,-1.8778659064770955,0.08210330550282009,-0.6115911014469749
PHL,1997,0.08652211087608702,-0.6326950832879676,-0.6376290610578806,-0.3944636590894189,-1.9588269358494323,0.10878963805185185,-0.5713838317261267
PHL,1998,0.02598215307066694,-0.6245925459300513,-0.543789504235584,-0.35514749014525593,-1.8866952505815529,0.13547597060088373,-0.5414611112034823
PHL,1999,0.036641116543590264,-0.6360207901710095,-0.4762317846043849,-0.31414683416636763,-1.9472122110302728,0.16789273307317393,-0.5281796283925452
PHL,2000,0.12556958829553577,-0.5699419271365345,-0.38249288501853623,-0.3618070464357774,-1.9006658549351974,0.1770744104927845,-0.48537728578962086
PHL,2001,0.25937990641826447,-0.5258293139949225,-0.35384456716847995,-0.3245206884814796,-1.9493095071164663,0.1780058771256383,-0.45268638220290763
PHL,2002,0.10993188215089325,-0.48213026541507215,-0.3723440063962929,-0.28644359515383067,-1.8422922106122583,0.12944224241976576,-0.45730599216779916
PHL,2003,0.11283077609310793,-0.43324649963293793,-0.1511761993707892,-0.24832510740089453,-1.8803813852310824,0.14807968811892247,-0.408703121237279
PHL,2004,0.08735040550452483,-0.2243090018378871,-0.06495871179819925,-0.21016507159861414,-1.8647605732413808,0.1667171338180792,-0.3516876365255796
PHL,2005,0.0508170077070385,-0.342200818676166,0.09508151502976975,-0.17196333521127355,-1.7825435972757981,0.18535457951723586,-0.32757577481819894
PHL,2006,0.043653608437364266,-0.3549534146114023,0.1232876202062974,-0.13372027047711377,-1.7823167934262887,0.18535457951723586,-0.31978244505898457
PHL,2007,0.07631259535279777,-0.2782562572769042,0.14132906538693074,-0.0834087546619828,-1.768840669909778,0.22262947091554927,-0.28170575836556455
PHL,2008,0.14525734987163808,-0.2722633200481577,0.2425339611097614,-0.03286394970581173,-1.762681028313878,0.24122406412848726,-0.23979882049299348
PHL,2009,0.2334646603210342,-0.25701486797420725,0.19121931565769495,0.017920025795068642,-1.8013348069413444,0.008647302098033568,-0.2678497285072867
PHL,2010,0.2900354050773882,-0.16098696347433628,-0.0769826790048078,0.06918967192912809,-1.7822152712605022,0.054118636011432526,-0.2678068667869496
PHL,2011,0.3259937062664504,-0.14053392572897525,-0.05192068169007666,0.1218870993596985,-1.7128959164621758,0.07726074171509985,-0.23003482942332978
PHL,2012,0.35103118347207884,-0.10973352481806575,-0.04698226133677751,0.1746666428565205,-1.734989948586687,0.08914451764583085,-0.21281056512785004
PHL,2013,0.37838277854174474,-0.048354927708674104,-0.03653610075333815,0.22753159596628533,-1.6151753887055327,0.05474908431713093,-0.1732338263903973
PHL,2014,0.4704125751789183,0.025220798248187255,-0.08594102251571446,0.28047069654008705,-1.4995275287390712,0.02035365098843101,-0.13150180504986034
PHL,2015,0.6576571091436167,0.0809333377821161,-0.044519815032337144,0.33349182725121534,-1.4175969294088,-0.014041782340268781,-0.06734604210074295
PHL,2016,0.8629836928140401,0.21981880331337325,0.019842843719379107,0.38658877971740013,-1.3465445190881629,-0.0484372156689687,0.01570873080117686
PHL,2017,0.9348147269649362,0.2874573340751065,0.06481503680949831,0.4398180368698254,-0.11845424727273594,0.14621052746998922,0.29244356915277
PHL,2018,0.9618777230286092,0.3527201502749699,0.06973751956511903,0.4931707332442301,0.08415114142004833,0.31869613687359755,0.38005890073442905
PHL,2019,0.7322098536265637,0.43149989587526993,0.12786567435190946,0.538607441257573,0.16645709774576978,0.3785982344312194,0.3958730328813842
PHL,2020,0.7652515093004758,0.324062972208189,0.30966178728878335,0.5841298865163015,0.26490324933563486,0.3777628800359162,0.4376287141142168
PHL,2021,0.6475292722131115,0.39926530644096186,-0.04893691357435825,0.6301616564280202,0.2530724675506118,0.3769275256406129,0.3763365524498266
PHL,2022,0.5921591274306955,0.4123447768156006,0.23096929472497996,0.676244967513516,0.2949995702336156,0.3760921712453096,0.43046831799395296
PHL,2023,0.4336051310223439,0.49547094584818424,0.33564515913715637,0.7139026848930021,0.23625954013748315,0.37525681685000634,0.43169004631469604
PHL,2024,1.024877185329894,0.49547094584818424,0.32504420317511673,0.7515763464637285,0.1814481443027153,0.37525681685000634,0.5256122736616075
POL,1990,2.3003398690579178,1.6255201822974128,1.216705324435626,1.714678266587083,2.251767518046921,0.5532015046084947,1.610368777505576
POL,1991,2.332228450494219,1.5906986290969956,1.222188277086651,1.7319226937678216,1.8612065797562118,0.5225867566811019,1.5434718978138335
POL,1992,2.321396408405485,1.569386739372431,1.3518975384212712,1.7469148686817115,1.5373936692456944,0.5214602623254188,1.5080749144086687
POL,1993,2.3215853093910166,1.51800941222666,1.4975453870010493,1.7594317985667522,1.4286655475959076,0.5130079418486789,1.5063742327716776
POL,1994,2.319192418395375,1.5144719428455566,1.65006516667013,1.7698711017104167,1.4065009718258261,0.511046943056976,1.5285247574173801
POL,1995,2.3167995273997337,1.5465454877158402,1.7732068429057009,1.7767018401643981,1.3620056158962797,0.5227154638580525,1.5496624629900007
POL,1996,2.2466689520346557,1.5882819662420007,1.9547370506295216,1.780653150996014,0.840584862516999,0.5190739411087707,1.4883333205879936
POL,1997,2.2705646131179797,1.6033576728599228,2.0881002619982665,1.7840535520530179,0.8490204108671043,0.5309766222280332,1.521012188854054
POL,1998,2.294460274201305,1.5916542118281656,2.1900769006070298,1.7859904964446305,0.8760766728455359,0.5395872442562912,1.5463076333638262
POL,1999,2.307302492460433,1.5988748535569244,2.2226279543493455,1.785776519785022,0.8873969589392043,0.5427117493657659,1.5574484214094493
POL,2000,2.293085807425179,1.6122012619030945,2.3653562998773334,1.6935330248266434,0.8794898805557847,0.5219225256532272,1.560931466706877
POL,2001,2.0984117866147542,1.611036185069493,2.570171816564078,1.700262836169543,0.8721096345441094,0.5362175147887133,1.5647016289584486
